organismQuantity	occurrenceStatus	recordedBy	samplingProtocol	sampleSizeValue	organismQuantityType	sampleSizeUnit	kingdom	phylum	class	order	family	genus	verbatimIdentification	scientificName	scientificNameID	taxonRank	identificationRemarks	occurrenceID	materialSampleID
52096	present	Hugo Gante	eDNA expeditions citizen science sampling	247816	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Eupercaria incertae sedis	Sillaginidae	Sillago		Sillago schomburgkii	urn:lsid:marinespecies.org:taxname:273953	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;o_Actinopteri;Sillaginidae;Sillago;Sillago_schomburgkii, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits KX234653,KX234652, identities 100,100, taxonomy Sillago_schomburgkii,Sillago_schomburgkii, consensus Eukaryota;Chordata;Actinopteri;Sillaginidae;Sillago;Sillago_schomburgkii.	asv.3_EE0043	EE0043
50216	present	Hugo Gante	eDNA expeditions citizen science sampling	453071	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo		Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits KP340156,JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215, identities 100,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6, taxonomy Homo_sapiens,Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum, consensus Eukaryota.	asv.8_EE0083	EE0083
43272	present	Hugo Gante	eDNA expeditions citizen science sampling	229827	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Centrarchiformes	Terapontidae	Leiopotherapon		Leiopotherapon aheneus	urn:lsid:marinespecies.org:taxname:1013644	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;Centrarchiformes;Terapontidae;Leiopotherapon;Leiopotherapon_aheneus, confidences 1;1;1;1;1;1;0.94. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits AY935338,AY935339,AY935337,AY935336,AY935334,AY935333,AY935329,AY935328, identities 99.2,97.7,97.7,97.3,97.3,97.3,97.3,97.3, taxonomy Leiopotherapon_aheneus,Leiopotherapon_aheneus,Leiopotherapon_unicolor,Leiopotherapon_unicolor,Leiopotherapon_unicolor,Leiopotherapon_unicolor,Leiopotherapon_unicolor,Leiopotherapon_unicolor, consensus Eukaryota;Chordata;Actinopteri;Centrarchiformes;Terapontidae;Leiopotherapon;Leiopotherapon_unicolor.	asv.2_EE0072	EE0072
41320	present	Hugo Gante	eDNA expeditions citizen science sampling	356369	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Centrarchiformes	Terapontidae	Leiopotherapon		Leiopotherapon aheneus	urn:lsid:marinespecies.org:taxname:1013644	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;Centrarchiformes;Terapontidae;Leiopotherapon;Leiopotherapon_aheneus, confidences 1;1;1;1;1;1;0.94. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits AY935338,AY935339,AY935337,AY935336,AY935334,AY935333,AY935329,AY935328, identities 99.2,97.7,97.7,97.3,97.3,97.3,97.3,97.3, taxonomy Leiopotherapon_aheneus,Leiopotherapon_aheneus,Leiopotherapon_unicolor,Leiopotherapon_unicolor,Leiopotherapon_unicolor,Leiopotherapon_unicolor,Leiopotherapon_unicolor,Leiopotherapon_unicolor, consensus Eukaryota;Chordata;Actinopteri;Centrarchiformes;Terapontidae;Leiopotherapon;Leiopotherapon_unicolor.	asv.2_EE0046	EE0046
37844	present	Hugo Gante	eDNA expeditions citizen science sampling	453499	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo		Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	asv.1_EE0062	EE0062
37285	present	Hugo Gante	eDNA expeditions citizen science sampling	356369	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo		Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	asv.1_EE0046	EE0046
32036	present	Hugo Gante	eDNA expeditions citizen science sampling	229827	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Eupercaria incertae sedis	Sillaginidae	Sillago		Sillago	urn:lsid:marinespecies.org:taxname:126072	genus	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;o_Actinopteri;Sillaginidae;Sillago;Sillago_schomburgkii, confidences 1;1;1;1;1;1;0.53. No VSEARCH hits at 0.97 identity.	asv.7_EE0072	EE0072
28396	present	Hugo Gante	eDNA expeditions citizen science sampling	453499	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Gobiiformes	Gobiidae	Yongeichthys		Yongeichthys criniger	urn:lsid:marinespecies.org:taxname:278114	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Yongeichthys;Yongeichthys_criniger, confidences 1;1;1;1;1;1;0.88. No VSEARCH hits at 0.97 identity.	asv.12_EE0062	EE0062
27365	present	Hugo Gante	eDNA expeditions citizen science sampling	229827	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Mugiliformes	Mugilidae	Mugil		Mugil cephalus	urn:lsid:marinespecies.org:taxname:126983	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Mugil;Mugil_cephalus, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ060785,JQ060808,JX000520,KM368340,JQ060822,JQ060809,JQ060791,EF397136,EF397122,EF397140, identities 100,97.6,97.2,97.2,97.2,97.2,97.2,97.1,97.1,97.1, taxonomy Mugil_cephalus,Mugil_cephalus,Mugil_liza,Mugil_cephalus,Mugil_cephalus,Mugil_cephalus,Mugil_cephalus,Mugil_platanus,Mugil_liza,Mugil_cephalus, consensus Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Mugil;Mugil_cephalus.	asv.9_EE0072	EE0072
26809	present	Hugo Gante	eDNA expeditions citizen science sampling	453499	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Mugiliformes	Mugilidae	Mugil		Mugil cephalus	urn:lsid:marinespecies.org:taxname:126983	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Mugil;Mugil_cephalus, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ060785,JQ060808,JX000520,KM368340,JQ060822,JQ060809,JQ060791,EF397136,EF397122,EF397140, identities 100,97.6,97.2,97.2,97.2,97.2,97.2,97.1,97.1,97.1, taxonomy Mugil_cephalus,Mugil_cephalus,Mugil_liza,Mugil_cephalus,Mugil_cephalus,Mugil_cephalus,Mugil_cephalus,Mugil_platanus,Mugil_liza,Mugil_cephalus, consensus Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Mugil;Mugil_cephalus.	asv.9_EE0062	EE0062
25723	present	Hugo Gante	eDNA expeditions citizen science sampling	75901	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo		Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	asv.1_EE0061	EE0061
25486	present	Hugo Gante	eDNA expeditions citizen science sampling	356369	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Beloniformes	Belonidae	Tylosurus		Tylosurus	urn:lsid:marinespecies.org:taxname:125690	genus	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Tylosurus;Tylosurus_punctulatus, confidences 1;1;1;1;1;1;0.5. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits AF243981,AF243980, identities 99.6,99.6, taxonomy Tylosurus_punctulatus,Tylosurus_gavialoides, consensus Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Tylosurus.	asv.14_EE0046	EE0046
22572	present	Hugo Gante	eDNA expeditions citizen science sampling	229827	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Eupercaria incertae sedis	Sparidae	Acanthopagrus		Acanthopagrus schlegelii	urn:lsid:marinespecies.org:taxname:293534	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;Spariformes;Sparidae;Acanthopagrus;Acanthopagrus_schlegelii, confidences 1;1;1;1;1;0.96;0.68. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits MK182268,JQ746035, identities 97,97, taxonomy Acanthopagrus_schlegelii_x_Pagrus_major,Acanthopagrus_schlegelii, consensus Eukaryota;Chordata;Actinopteri;Spariformes;Sparidae.	asv.4_EE0072	EE0072
21744	present	Hugo Gante	eDNA expeditions citizen science sampling	127966	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Eupercaria incertae sedis	Nemipteridae	Pentapodus		Pentapodus setosus	urn:lsid:marinespecies.org:taxname:282210	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;Spariformes;Nemipteridae;Pentapodus;Pentapodus_setosus, confidences 1;1;1;1;1;1;0.71. No VSEARCH hits at 0.97 identity.	asv.17_EE0044	EE0044
20383	present	Hugo Gante	eDNA expeditions citizen science sampling	453499	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Mugiliformes	Mugilidae	Planiliza		Planiliza macrolepis	urn:lsid:marinespecies.org:taxname:1043424	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Planiliza;Planiliza_macrolepis, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits NC_027239,GQ168554,JQ060674, identities 100,99.6,97.7, taxonomy Planiliza_macrolepis,Planiliza_macrolepis,Planiliza_macrolepis, consensus Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Planiliza;Planiliza_macrolepis.	asv.13_EE0062	EE0062
19005	present	Hugo Gante	eDNA expeditions citizen science sampling	453499	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Atheriniformes				Atheriniformes	urn:lsid:marinespecies.org:taxname:10318	order	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;Atheriniformes;Bedotiidae;Bedotia;Bedotia_madagascariensis, confidences 1;1;1;0.97;0.41;0.4;0.36. No VSEARCH hits at 0.97 identity.	asv.10_EE0062	EE0062
16796	present	Hugo Gante	eDNA expeditions citizen science sampling	200609	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Eupercaria incertae sedis	Labridae	Halichoeres		Halichoeres brownfieldi	urn:lsid:marinespecies.org:taxname:275755	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_brownfieldi, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits AY850923, identities 100, taxonomy Halichoeres_brownfieldi, consensus Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_brownfieldi.	asv.15_EE0045	EE0045
15686	present	Hugo Gante	eDNA expeditions citizen science sampling	200609	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Centrarchiformes	Terapontidae	Pelates		Pelates quadrilineatus	urn:lsid:marinespecies.org:taxname:127077	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;Centrarchiformes;Terapontidae;Pelates;Pelates_quadrilineatus, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JN688788, identities 98.5, taxonomy Pelates_quadrilineatus, consensus Eukaryota;Chordata;Actinopteri;Centrarchiformes;Terapontidae;Pelates;Pelates_quadrilineatus.	asv.11_EE0045	EE0045
15650	present	Hugo Gante	eDNA expeditions citizen science sampling	247816	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Atheriniformes	Atherinidae			Atherinidae	urn:lsid:marinespecies.org:taxname:125438	family	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinidae;Craterocephalus;Craterocephalus_eyresii, confidences 1;1;1;0.85;0.84;0.46;0.33. No VSEARCH hits at 0.97 identity.	asv.5_EE0043	EE0043
15606	present	Hugo Gante	eDNA expeditions citizen science sampling	356369	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Eupercaria incertae sedis	Gerreidae	Gerres		Gerres japonicus	urn:lsid:marinespecies.org:taxname:276958	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;Gerreiformes;Gerreidae;Gerres;Gerres_japonicus, confidences 1;1;1;1;1;1;0.86. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits EU912570,MT023107, identities 98.5,98.5, taxonomy Gerres_japonicus,Gerres_decacanthus, consensus Eukaryota;Chordata;Actinopteri;Gerreiformes;Gerreidae;Gerres.	asv.6_EE0046	EE0046
14779	present	Hugo Gante	eDNA expeditions citizen science sampling	453499	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Eupercaria incertae sedis	Sillaginidae	Sillago		Sillago	urn:lsid:marinespecies.org:taxname:126072	genus	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;o_Actinopteri;Sillaginidae;Sillago;Sillago_schomburgkii, confidences 1;1;1;1;1;1;0.53. No VSEARCH hits at 0.97 identity.	asv.7_EE0062	EE0062
14656	present	Hugo Gante	eDNA expeditions citizen science sampling	127966	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo		Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	asv.1_EE0044	EE0044
14076	present	Hugo Gante	eDNA expeditions citizen science sampling	247816	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Eupercaria incertae sedis	Sillaginidae	Sillago		Sillago	urn:lsid:marinespecies.org:taxname:126072	genus	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;o_Actinopteri;Sillaginidae;Sillago;Sillago_schomburgkii, confidences 1;1;1;1;1;1;0.53. No VSEARCH hits at 0.97 identity.	asv.7_EE0043	EE0043
13471	present	Hugo Gante	eDNA expeditions citizen science sampling	232067	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Eupercaria incertae sedis	Sillaginidae	Sillago		Sillago	urn:lsid:marinespecies.org:taxname:126072	genus	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;o_Actinopteri;Sillaginidae;Sillago;Sillago_schomburgkii, confidences 1;1;1;1;1;1;0.53. No VSEARCH hits at 0.97 identity.	asv.7_EE0047	EE0047
