organismQuantity	occurrenceStatus	recordedBy	samplingProtocol	sampleSizeValue	organismQuantityType	sampleSizeUnit	kingdom	phylum	class	order	family	genus	scientificName	scientificNameID	taxonRank	specificEpithet	occurrenceID
255116	present	Hugo Gante	eDNA expeditions citizen science sampling	2599740	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	nan	Sillaginidae	Sillago	Sillago_cf._sihama_JYP570	urn:lsid:marinespecies.org:taxname:126072	genus		asv.12_S-01-multi-Mi
243534	present	Hugo Gante	eDNA expeditions citizen science sampling	684384	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_W-17-multi-tot
241365	present	Hugo Gante	eDNA expeditions citizen science sampling	644081	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Pomatoschistus		urn:lsid:marinespecies.org:taxname:125999	genus		asv.2_W-17-singleplex
232527	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1440_B-3-multi-tot
231944	present	Hugo Gante	eDNA expeditions citizen science sampling	814746	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1440_B-13-multi-tot
228672	present	Hugo Gante	BLANK; eDNA expeditions citizen science sampling	332307	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_W-26-multi-tot
224776	present	Hugo Gante	eDNA expeditions citizen science sampling	2823421	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	nan	Pomacentridae	Stegastes		urn:lsid:marinespecies.org:taxname:203822	genus		asv.21_B-3-multi-Mi
224285	present	Hugo Gante	eDNA expeditions citizen science sampling	1175843	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_W-21-multi-tot
218353	present	Hugo Gante	eDNA expeditions citizen science sampling	2823421	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Acanthurus		urn:lsid:marinespecies.org:taxname:125908	genus		asv.14_B-3-multi-Mi
215475	present	Hugo Gante	BLANK; eDNA expeditions citizen science sampling	497142	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_B-14-multi-tot
213416	present	Hugo Gante	eDNA expeditions citizen science sampling	2823421	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Sparisoma	Sparisoma_axillare	urn:lsid:marinespecies.org:taxname:273773	species	axillare	asv.23_B-3-multi-Mi
212881	present	Hugo Gante	eDNA expeditions citizen science sampling	742306	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1439_S-06-multi-tot
211342	present	Hugo Gante	eDNA expeditions citizen science sampling	2823421	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	Entomacrodus	Entomacrodus_caudofasciatus	urn:lsid:marinespecies.org:taxname:277241	species	caudofasciatus	asv.18_B-3-multi-Mi
206584	present	Hugo Gante	eDNA expeditions citizen science sampling	2599740	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Atheriniformes	Atherinidae	Craterocephalus		urn:lsid:marinespecies.org:taxname:268866	genus		asv.15_S-01-multi-Mi
202288	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1444_B-3-multi-tot
198898	present	Hugo Gante	eDNA expeditions citizen science sampling	2599740	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_S-01-multi-Mi
189187	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	2119650	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Aves	Galliformes	Phasianidae	Gallus	Gallus gallus	urn:lsid:marinespecies.org:taxname:1463738	species	gallus	asv.17_W-22-multi-tot
188816	present	Hugo Gante	eDNA expeditions citizen science sampling	302078	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_S-06-singleplex
183642	present	Hugo Gante	eDNA expeditions citizen science sampling	1740448	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Carangiformes	Carangidae	Caranx		urn:lsid:marinespecies.org:taxname:125936	genus		asv.29_B-13-multi-Mi
181612	present	Hugo Gante	eDNA expeditions citizen science sampling	1175843	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1442_W-21-multi-tot
177367	present	Hugo Gante	eDNA expeditions citizen science sampling	2823421	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	nan	Opistognathidae	Opistognathus		urn:lsid:marinespecies.org:taxname:159746	genus		asv.31_B-3-multi-Mi
173047	present	Hugo Gante	eDNA expeditions citizen science sampling	2823421	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1441_B-3-multi-Mi
168309	present	Hugo Gante	eDNA expeditions citizen science sampling	2037239	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Syngnathiformes	Syngnathidae	Syngnathus		urn:lsid:marinespecies.org:taxname:126227	genus		asv.24_W-21-multi-Mi
159435	present	Hugo Gante	eDNA expeditions citizen science sampling	2823421	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Beloniformes	Hemiramphidae	Hemiramphus	Hemiramphus_far	urn:lsid:marinespecies.org:taxname:126389	species	far	asv.32_B-3-multi-Mi
157652	present	Hugo Gante	eDNA expeditions citizen science sampling	742306	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_S-06-multi-tot
151891	present	Hugo Gante	eDNA expeditions citizen science sampling	1740448	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.16_B-13-multi-Mi
147587	present	Hugo Gante	eDNA expeditions citizen science sampling	684384	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Pomatoschistus		urn:lsid:marinespecies.org:taxname:125999	genus		asv.2_W-17-multi-tot
142137	present	Hugo Gante	BLANK; eDNA expeditions citizen science sampling	705656	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa	urn:lsid:marinespecies.org:taxname:1469456	species	scrofa	asv.19_S-22-multi-tot
140818	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Pomatoschistus		urn:lsid:marinespecies.org:taxname:125999	genus		asv.2_W-8-multi-tot
139326	present	Hugo Gante	eDNA expeditions citizen science sampling	350152	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_B-3-singleplex
137637	present	Hugo Gante	eDNA expeditions citizen science sampling	228872	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_W-21-singleplex
135997	present	Hugo Gante	eDNA expeditions citizen science sampling	493393	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_S-01-singleplex
133803	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_B-3-multi-tot
133715	present	Hugo Gante	eDNA expeditions citizen science sampling	2494166	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Monacanthidae	Monacanthus	Monacanthus_chinensis	urn:lsid:marinespecies.org:taxname:276256	species	chinensis	asv.28_S-11-multi-Mi
131137	present	Hugo Gante	eDNA expeditions citizen science sampling	2599740	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Atheriniformes	Atherinidae	Atherinomorus		urn:lsid:marinespecies.org:taxname:125660	genus		asv.33_S-01-multi-Mi
130179	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_W-8-multi-tot
128197	present	Hugo Gante	eDNA expeditions citizen science sampling	2494166	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	nan	Sillaginidae	Sillago		urn:lsid:marinespecies.org:taxname:126072	genus		asv.38_S-11-multi-Mi
127563	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	3359557	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.10_W-22-multi-Mi
120934	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	3359557	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.27_W-22-multi-Mi
116571	present	Hugo Gante	eDNA expeditions citizen science sampling	2599740	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Atheriniformes	Atherinidae	Craterocephalus	Craterocephalus_eyresii	urn:lsid:marinespecies.org:taxname:280416	species	eyresii	asv.34_S-01-multi-Mi
115499	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	3359557	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.9_W-22-multi-Mi
115247	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1445_W-8-multi-tot
113707	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1443_W-8-multi-tot
111432	present	Hugo Gante	eDNA expeditions citizen science sampling	2599740	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Choerodon	Choerodon_schoenleinii	urn:lsid:marinespecies.org:taxname:218951	species	schoenleinii	asv.41_S-01-multi-Mi
105982	present	Hugo Gante	eDNA expeditions citizen science sampling	1051926	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1445_S-01-multi-tot
105589	present	Hugo Gante	eDNA expeditions citizen science sampling	2823421	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	nan	Pomacentridae	Abudefduf		urn:lsid:marinespecies.org:taxname:126044	genus		asv.45_B-3-multi-Mi
103593	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	3359557	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.40_W-22-multi-Mi
102152	present	Hugo Gante	eDNA expeditions citizen science sampling	1065746	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1443_S-11-multi-tot
101441	present	Hugo Gante	eDNA expeditions citizen science sampling	1175843	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1443_W-21-multi-tot
97832	present	Hugo Gante	eDNA expeditions citizen science sampling	2823421	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Halichoeres		urn:lsid:marinespecies.org:taxname:158813	genus		asv.37_B-3-multi-Mi
97728	present	Hugo Gante	eDNA expeditions citizen science sampling	2823421	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Lutjaniformes	Haemulidae	Anisotremus	Anisotremus_scapularis	urn:lsid:marinespecies.org:taxname:279622	species	scapularis	asv.44_B-3-multi-Mi
92768	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	904704	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.11_B-05-multi-Mi
92679	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Pomatoschistus		urn:lsid:marinespecies.org:taxname:125999	genus		asv.25_W-8-multi-tot
92170	present	Hugo Gante	eDNA expeditions citizen science sampling	2037239	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Pomatoschistus		urn:lsid:marinespecies.org:taxname:125999	genus		asv.25_W-21-multi-Mi
91945	present	Hugo Gante	eDNA expeditions citizen science sampling	1174874	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Halichoeres		urn:lsid:marinespecies.org:taxname:158813	genus		asv.13_S-06-multi-Mi
90633	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	3359557	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.11_W-22-multi-Mi
90590	present	Hugo Gante	BLANK; eDNA expeditions citizen science sampling	497142	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa	urn:lsid:marinespecies.org:taxname:1469456	species	scrofa	asv.19_B-14-multi-tot
89131	present	Hugo Gante	eDNA expeditions citizen science sampling	493393	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	nan	Sillaginidae	Sillago	Sillago_cf._sihama_JYP570	urn:lsid:marinespecies.org:taxname:126072	genus		asv.3_S-01-singleplex
86940	present	Hugo Gante	eDNA expeditions citizen science sampling	2599740	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Terapontidae	Leiopotherapon	Leiopotherapon_unicolor	urn:lsid:marinespecies.org:taxname:281283	species	unicolor	asv.36_S-01-multi-Mi
85143	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	3359557	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.26_W-22-multi-Mi
84758	present	Hugo Gante	eDNA expeditions citizen science sampling	2037239	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa	urn:lsid:marinespecies.org:taxname:1469456	species	scrofa	asv.39_W-21-multi-Mi
84205	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	2119650	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.22_W-22-multi-tot
82771	present	Hugo Gante	eDNA expeditions citizen science sampling	2037239	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla_anguilla	urn:lsid:marinespecies.org:taxname:126281	species	anguilla	asv.35_W-21-multi-Mi
82308	present	Hugo Gante	BLANK; eDNA expeditions citizen science sampling	82812	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_W-26-singleplex
78194	present	Hugo Gante	eDNA expeditions citizen science sampling	2494166	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Halichoeres		urn:lsid:marinespecies.org:taxname:158813	genus		asv.13_S-11-multi-Mi
78191	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	2855108	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.11_S-18-multi-Mi
77183	present	Hugo Gante	eDNA expeditions citizen science sampling	2599740	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Monacanthidae	Scobinichthys	Scobinichthys_granulatus	urn:lsid:marinespecies.org:taxname:282705	species	granulatus	asv.48_S-01-multi-Mi
