organismQuantity	occurrenceStatus	recordedBy	samplingProtocol	sampleSizeValue	organismQuantityType	sampleSizeUnit	phylum	class	order	family	genus	verbatimIdentification	scientificName	scientificNameID	taxonRank	kingdom	occurrenceID	materialSampleID
46902	present	Hugo Gante	eDNA expeditions citizen science sampling	220876	DNA Sequence reads	DNA Sequence reads	Echinodermata	Ophiuroidea	Amphilepidida	Ophiactidae	Ophiactis	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Echinodermata;Ophiuroidea;Amphilepidida;Ophiactidae;Ophiactis;Ophiactis_macrolepidota, confidences 1;0.87;0.86;0.86;0.86;0.86;0.59. No VSEARCH hits at 0.97 identity.	Ophiactis	urn:lsid:marinespecies.org:taxname:123620	genus	Animalia	asv.2_EE0361	EE0361
35535	present	Hugo Gante	eDNA expeditions citizen science sampling	253524	DNA Sequence reads	DNA Sequence reads	Echinodermata	Ophiuroidea	Amphilepidida	Ophiactidae	Ophiactis	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Echinodermata;Ophiuroidea;Amphilepidida;Ophiactidae;Ophiactis;Ophiactis_macrolepidota, confidences 1;0.87;0.86;0.86;0.86;0.86;0.59. No VSEARCH hits at 0.97 identity.	Ophiactis	urn:lsid:marinespecies.org:taxname:123620	genus	Animalia	asv.2_EE0347	EE0347
34245	present	Hugo Gante	eDNA expeditions citizen science sampling	542609	DNA Sequence reads	DNA Sequence reads	Chordata	Teleostei	Siluriformes	Ariidae	Arius	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Siluriformes;Ariidae;Arius;Arius_dispar, confidences 1;1;1;1;1;0.94;0.55. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits FJ626066,NC_048969,KJ533177,MG076910,KJ533186,MF595154,KM508067,DQ990624,DQ990599,FJ626088, identities 99.6,99.2,99.2,99.2,98.8,98,98,98,98,98, taxonomy Arius_oetik,Arius_dispar,Arius_manillensis,Netuma_thalassina,Arius_dispar,Genidens_barbus,Hemiarius_dioctes,Cryptarius_truncatus,Ariopsis_felis,Potamosilurus_macrorhynchus, consensus Eukaryota;Chordata;Actinopteri;Siluriformes;Ariidae.	Arius	urn:lsid:marinespecies.org:taxname:158710	genus	Animalia	asv.4_EE0333	EE0333
29930	present	Hugo Gante	eDNA expeditions citizen science sampling	155660	DNA Sequence reads	DNA Sequence reads	Echinodermata	Ophiuroidea	Amphilepidida	Ophiactidae	Ophiactis	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Echinodermata;Ophiuroidea;Amphilepidida;Ophiactidae;Ophiactis;Ophiactis_macrolepidota, confidences 1;0.87;0.86;0.86;0.86;0.86;0.59. No VSEARCH hits at 0.97 identity.	Ophiactis	urn:lsid:marinespecies.org:taxname:123620	genus	Animalia	asv.2_EE0345	EE0345
27752	present	Hugo Gante	eDNA expeditions citizen science sampling	220876	DNA Sequence reads	DNA Sequence reads	Chordata	Teleostei	Clupeiformes	Engraulidae	Coilia	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Coilia;Coilia_ramcarati, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits KX768977,KX768975, identities 100,99.2, taxonomy Coilia_ramcarati,Coilia_ramcarati, consensus Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Coilia;Coilia_ramcarati.	Coilia ramcarati	urn:lsid:marinespecies.org:taxname:279085	species	Animalia	asv.3_EE0361	EE0361
21876	present	Hugo Gante	eDNA expeditions citizen science sampling	321774	DNA Sequence reads	DNA Sequence reads	Chordata	Teleostei	Acanthuriformes	Leiognathidae	Nuchequula	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Chaetodontiformes;Leiognathidae;Nuchequula;Nuchequula_blochii, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits EU741826, identities 100, taxonomy Nuchequula_blochii, consensus Eukaryota;Chordata;Actinopteri;Chaetodontiformes;Leiognathidae;Nuchequula;Nuchequula_blochii.	Nuchequula blochii	urn:lsid:marinespecies.org:taxname:398529	species	Animalia	asv.7_EE0330	EE0330
17965	present	Hugo Gante	eDNA expeditions citizen science sampling	321774	DNA Sequence reads	DNA Sequence reads	Chordata	Teleostei	Mugiliformes	Mugilidae	Moolgarda	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Moolgarda;Moolgarda_cunnesius, confidences 1;1;1;1;1;0.89;0.65. No VSEARCH hits at 0.97 identity.	Moolgarda	urn:lsid:marinespecies.org:taxname:203838	genus	Animalia	asv.9_EE0330	EE0330
15164	present	Hugo Gante	eDNA expeditions citizen science sampling	542609	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;0.99;0.99;0.99;0.99;0.99;0.99. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Animalia	asv.6_EE0333	EE0333
11432	present	Hugo Gante	eDNA expeditions citizen science sampling	321774	DNA Sequence reads	DNA Sequence reads	Chordata	Teleostei	Clupeiformes	Engraulidae	Stolephorus	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Stolephorus;Stolephorus_dubiosus, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits AP011567,KX768967,AP011566, identities 100,100,98.1, taxonomy Stolephorus_waitei,Stolephorus_dubiosus,Stolephorus_chinensis, consensus Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Stolephorus.	Stolephorus dubiosus	urn:lsid:marinespecies.org:taxname:275322	species	Animalia	asv.11_EE0330	EE0330
10694	present	Hugo Gante	eDNA expeditions citizen science sampling	227918	DNA Sequence reads	DNA Sequence reads	Chordata	Teleostei	Mugiliformes	Mugilidae		Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Chelon;Chelon_melinopterus, confidences 1;1;1;1;1;0.78;0.78. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits KF375085,JQ060873, identities 100,100, taxonomy Paramugil_parmatus,Chelon_melinopterus, consensus Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae.	Mugilidae	urn:lsid:marinespecies.org:taxname:125546	family	Animalia	asv.5_EE0337	EE0337
10586	present	Hugo Gante	eDNA expeditions citizen science sampling	227918	DNA Sequence reads	DNA Sequence reads	Chordata	Teleostei	Siluriformes	Ariidae		Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Siluriformes;Ariidae;Brustiarius;Brustiarius_proximus, confidences 1;1;1;1;1;0.36;0.36. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits NC_048969,KJ533177,MG076910,FJ626084,FJ626083,KJ533186,KM508067,FJ626086,FJ626061,FJ013204, identities 98.4,98.4,98.4,98,98,98,97.7,97.7,97.7,97.3, taxonomy Arius_dispar,Arius_manillensis,Netuma_thalassina,Neoarius_aff._graeffei_1_RB-2009,Neoarius_berneyi,Arius_dispar,Hemiarius_dioctes,Cinetodus_crassilabris,Brustiarius_proximus,Neoarius_graeffei, consensus Eukaryota;Chordata;Actinopteri;Siluriformes;Ariidae.	Ariidae	urn:lsid:marinespecies.org:taxname:154659	family	Animalia	asv.10_EE0337	EE0337
9885	present	Hugo Gante	eDNA expeditions citizen science sampling	321774	DNA Sequence reads	DNA Sequence reads	Chordata	Teleostei	Clupeiformes	Pristigasteridae	Pellona	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Clupeiformes;Pristigasteridae;Pellona;Pellona_ditchela, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits AP011609, identities 98.5, taxonomy Pellona_ditchela, consensus Eukaryota;Chordata;Actinopteri;Clupeiformes;Pristigasteridae;Pellona;Pellona_ditchela.	Pellona ditchela	urn:lsid:marinespecies.org:taxname:212279	species	Animalia	asv.18_EE0330	EE0330
9380	present	Hugo Gante	eDNA expeditions citizen science sampling	542609	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Primates			Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Cercopithecidae;Lophocebus;Lophocebus_aterrimus, confidences 1;0.98;0.97;0.95;0.5;0.22;0.22. No VSEARCH hits at 0.97 identity.	Primates	urn:lsid:marinespecies.org:taxname:1455974	order	Animalia	asv.8_EE0333	EE0333
9120	present	Hugo Gante	eDNA expeditions citizen science sampling	220876	DNA Sequence reads	DNA Sequence reads	Chordata	Teleostei	Siluriformes	Ariidae	Nemapteryx	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Siluriformes;Ariidae;Nemapteryx;Nemapteryx_nenga, confidences 1;1;1;1;1;0.84;0.83. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits FJ626073,FJ626074,FJ626086,FJ626084,FJ626083,FJ626065,FJ626062,FJ626054,KJ533186,FJ013200, identities 99.6,98.4,97.6,97.6,97.6,97.6,97.6,97.3,97.3,97.2, taxonomy Nemapteryx_nenga,Nemapteryx_aff._nenga_RB-2009,Cinetodus_crassilabris,Neoarius_aff._graeffei_1_RB-2009,Neoarius_berneyi,Arius_maculatus,Brustiarius_proximus,Plicofollis_dussumieri,Arius_dispar,Amissidens_hainesi, consensus Eukaryota;Chordata;Actinopteri;Siluriformes;Ariidae.	Nemapteryx nenga	urn:lsid:marinespecies.org:taxname:281663	species	Animalia	asv.13_EE0361	EE0361
7908	present	Hugo Gante	eDNA expeditions citizen science sampling	227918	DNA Sequence reads	DNA Sequence reads	Chordata	Teleostei	Clupeiformes	Engraulidae	Coilia	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Coilia;Coilia_ramcarati, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits KX768977,KX768975, identities 100,99.2, taxonomy Coilia_ramcarati,Coilia_ramcarati, consensus Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Coilia;Coilia_ramcarati.	Coilia ramcarati	urn:lsid:marinespecies.org:taxname:279085	species	Animalia	asv.3_EE0337	EE0337
7610	present	Hugo Gante	eDNA expeditions citizen science sampling	321774	DNA Sequence reads	DNA Sequence reads	Chordata	Teleostei	Mugiliformes	Mugilidae		Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Chelon;Chelon_melinopterus, confidences 1;1;1;1;1;0.78;0.78. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits KF375085,JQ060873, identities 100,100, taxonomy Paramugil_parmatus,Chelon_melinopterus, consensus Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae.	Mugilidae	urn:lsid:marinespecies.org:taxname:125546	family	Animalia	asv.5_EE0330	EE0330
6591	present	Hugo Gante	eDNA expeditions citizen science sampling	253524	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Cetartiodactyla	Phocoenidae	Neophocaena	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Artiodactyla;Phocoenidae;Neophocaena;Neophocaena_phocaenoides, confidences 1;1;1;1;0.98;0.98;0.98. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits GQ856369,KR108308,AF334503,AB481391, identities 98.8,98.3,98.3,97.9, taxonomy Neophocaena_phocaenoides,Neophocaena_asiaeorientalis,Neophocaena_phocaenoides,Neophocaena_phocaenoides, consensus Eukaryota;Chordata;Mammalia;Artiodactyla;Phocoenidae;Neophocaena;Neophocaena_phocaenoides.	Neophocaena phocaenoides	urn:lsid:marinespecies.org:taxname:254985	species	Animalia	asv.14_EE0347	EE0347
6383	present	Hugo Gante	eDNA expeditions citizen science sampling	227918	DNA Sequence reads	DNA Sequence reads	Chordata	Teleostei	Siluriformes	Pangasiidae	Pangasius	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Siluriformes;Pangasiidae;Pangasius;Pangasius_pangasius, confidences 1;1;1;1;1;1;0.98. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits GQ411088,MG076888,DQ334305,NC_023924,DQ334317,DQ334313,DQ334307,HM355773, identities 100,99.6,97.7,97.3,97.3,97.3,97.3,97.3, taxonomy Pangasius_pangasius,Pangasius_elongatus,Pangasius_larnaudii,Pangasius_pangasius,Pangasius_sanitwongsei,Pangasius_larnaudii,Pangasius_larnaudii,Pangasius_krempfi, consensus Eukaryota;Chordata;Actinopteri;Siluriformes;Pangasiidae;Pangasius.	Pangasius pangasius	urn:lsid:marinespecies.org:taxname:281982	species	Animalia	asv.17_EE0337	EE0337
6205	present	Hugo Gante	eDNA expeditions citizen science sampling	542609	DNA Sequence reads	DNA Sequence reads	Chordata	Teleostei	Siluriformes	Ariidae		Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Siluriformes;Ariidae;Brustiarius;Brustiarius_proximus, confidences 1;1;1;1;1;0.36;0.36. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits NC_048969,KJ533177,MG076910,FJ626084,FJ626083,KJ533186,KM508067,FJ626086,FJ626061,FJ013204, identities 98.4,98.4,98.4,98,98,98,97.7,97.7,97.7,97.3, taxonomy Arius_dispar,Arius_manillensis,Netuma_thalassina,Neoarius_aff._graeffei_1_RB-2009,Neoarius_berneyi,Arius_dispar,Hemiarius_dioctes,Cinetodus_crassilabris,Brustiarius_proximus,Neoarius_graeffei, consensus Eukaryota;Chordata;Actinopteri;Siluriformes;Ariidae.	Ariidae	urn:lsid:marinespecies.org:taxname:154659	family	Animalia	asv.10_EE0333	EE0333
5641	present	Hugo Gante	eDNA expeditions citizen science sampling	253524	DNA Sequence reads	DNA Sequence reads	Chordata	Teleostei	Clupeiformes	Dorosomatidae	Anodontostoma	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Anodontostoma;Anodontostoma_chacunda, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits NC_021446, identities 98.1, taxonomy Anodontostoma_chacunda, consensus Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Anodontostoma;Anodontostoma_chacunda.	Anodontostoma chacunda	urn:lsid:marinespecies.org:taxname:279626	species	Animalia	asv.15_EE0347	EE0347
5551	present	Hugo Gante	eDNA expeditions citizen science sampling	457119	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;0.99;0.99;0.99;0.99;0.99;0.99. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Animalia	asv.6_EE0339	EE0339
5536	present	Hugo Gante	eDNA expeditions citizen science sampling	227918	DNA Sequence reads	DNA Sequence reads	Chordata	Teleostei	Clupeiformes	Engraulidae		Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Setipinna;Setipinna_taty, confidences 1;1;1;0.99;0.99;0.76;0.69. No VSEARCH hits at 0.97 identity.	Engraulidae	urn:lsid:marinespecies.org:taxname:125465	family	Animalia	asv.34_EE0337	EE0337
